section_crn,day_id
10108,Monday
10108,Wednesday
12623,Monday
12623,Wednesday
10109,Monday
10109,Wednesday
10362,Tuesday
10362,Thursday
10112,Tuesday
10112,Thursday
12193,Tuesday
12193,Thursday
13710,Tuesday
13710,Thursday
11327,Monday
11327,Wednesday
10110,Monday
10110,Wednesday
10852,Monday
10852,Wednesday
10852,Friday
14329,Tuesday
14329,Thursday
14330,Tuesday
14330,Thursday
14331,Tuesday
14331,Thursday
14332,Tuesday
14332,Thursday
14716,Tuesday
14716,Thursday
10877,Tuesday
10877,Thursday
13564,Monday
13564,Wednesday
13711,Monday
13711,Wednesday
14306,Monday
14306,Wednesday
14307,Monday
14307,Wednesday
14308,Tuesday
14308,Thursday
14309,Tuesday
14309,Thursday
14310,Tuesday
14310,Thursday
13822,Monday
13822,Wednesday
13823,Monday
13823,Wednesday
13824,Monday
13824,Wednesday
13825,Monday
13825,Wednesday
14498,Tuesday
14498,Thursday
14718,Monday
10973,Tuesday
10973,Thursday
10974,Tuesday
10974,Thursday
13495,Tuesday
13495,Thursday
11086,Tuesday
11959,Monday
11960,Monday
13496,Wednesday
10448,Tuesday
10448,Thursday
11088,Tuesday
11088,Thursday
13497,Tuesday
13497,Thursday
11134,Wednesday
14755,Tuesday
11087,Monday
11087,Wednesday
10963,Friday
10964,Friday
10965,Friday
14719,Friday
10617,Monday
10618,Monday
11058,Monday
10619,Monday
10620,Tuesday
11312,Wednesday
10670,Wednesday
10837,Thursday
11059,Thursday
11742,Tuesday
10636,Thursday
13452,Friday
13453,Friday
14348,Wednesday
14587,Monday
14587,Wednesday
14588,Wednesday
14352,Tuesday
14352,Thursday
11743,Monday
11743,Wednesday
10637,Wednesday
10446,Monday
10446,Wednesday
12495,Monday
12495,Wednesday
12496,Friday
12616,Friday
13366,Tuesday
13366,Thursday
13367,Tuesday
13367,Thursday
12185,Tuesday
12186,Thursday
10511,Wednesday
10641,Friday
11019,Monday
11019,Wednesday
11521,Monday
11521,Wednesday
14356,Monday
14356,Wednesday
10621,Monday
13454,Monday
10622,Tuesday
10622,Thursday
11765,Tuesday
11765,Thursday
11283,Tuesday
11284,Thursday
10379,Monday
11127,Wednesday
10177,Monday
11740,Thursday
10488,Friday
11643,Friday
12843,Wednesday
11527,Monday
11274,Monday
13946,Monday
12998,Tuesday
11741,Monday
11868,Thursday
10509,Thursday
11996,Thursday
10131,Tuesday
10131,Thursday
10525,Tuesday
10525,Thursday
14333,Monday
13258,Tuesday
13258,Thursday
13254,Friday
13259,Friday
14334,Tuesday
14334,Thursday
14720,Wednesday
11047,Monday
11000,Thursday
11001,Monday
11001,Wednesday
11865,Monday
11865,Wednesday
11002,Wednesday
11759,Tuesday
12848,Wednesday
11459,Tuesday
13706,Thursday
12621,Thursday
10447,Monday
10447,Wednesday
10053,Monday
10053,Wednesday
10054,Monday
10054,Wednesday
12181,Tuesday
12181,Thursday
10055,Tuesday
10055,Thursday
10056,Tuesday
10056,Thursday
11129,Monday
11129,Wednesday
10041,Monday
10041,Wednesday
10289,Monday
10289,Wednesday
10290,Tuesday
10290,Thursday
11135,Tuesday
11135,Thursday
14340,Tuesday
14340,Thursday
14822,Tuesday
14822,Thursday
12251,Tuesday
12251,Thursday
10091,Monday
10091,Wednesday
10058,Monday
10058,Wednesday
10124,Monday
10124,Wednesday
10092,Monday
10092,Wednesday
10199,Tuesday
10199,Thursday
10057,Tuesday
10057,Thursday
10059,Tuesday
10059,Thursday
10060,Monday
10060,Wednesday
10459,Monday
10459,Wednesday
10218,Monday
10218,Wednesday
10702,Monday
10702,Wednesday
11132,Tuesday
11132,Thursday
11133,Tuesday
11133,Thursday
12314,Tuesday
12314,Thursday
10512,Monday
10512,Wednesday
10229,Monday
10229,Wednesday
14398,Tuesday
14398,Thursday
14399,Monday
14399,Wednesday
13049,Tuesday
13049,Thursday
14619,Tuesday
14619,Thursday
10797,Monday
10797,Wednesday
11579,Monday
11579,Wednesday
10721,Monday
10721,Wednesday
11146,Wednesday
10872,Monday
12615,Thursday
13755,Thursday
14294,Wednesday
14296,Tuesday
14298,Monday
14315,Tuesday
14722,Thursday
14724,Tuesday
14724,Thursday
14783,Friday
14290,Thursday
14292,Wednesday
14693,Friday
10003,Monday
10003,Wednesday
10003,Friday
10004,Tuesday
10004,Thursday
10005,Wednesday
10916,Thursday
10917,Tuesday
10918,Thursday
10919,Tuesday
11042,Thursday
14629,Thursday
10920,Tuesday
14630,Tuesday
13573,Tuesday
13573,Thursday
10922,Thursday
10087,Tuesday
11072,Monday
10966,Monday
10967,Monday
13965,Monday
14838,Monday
14839,Monday
14777,Monday
14777,Wednesday
14579,Wednesday
14672,Monday
14672,Wednesday
14558,Tuesday
14558,Thursday
14559,Tuesday
14559,Thursday
11028,Tuesday
11028,Thursday
10069,Tuesday
10069,Thursday
13362,Monday
13362,Wednesday
13355,Monday
13355,Wednesday
14651,Monday
14651,Wednesday
10484,Monday
10484,Wednesday
10484,Friday
10485,Monday
10485,Wednesday
10485,Friday
10482,Monday
10482,Wednesday
10482,Friday
10483,Monday
10483,Wednesday
10483,Friday
10486,Wednesday
10878,Tuesday
10487,Tuesday
13720,Friday
13498,Tuesday
13498,Thursday
11779,Friday
11780,Friday
11781,Friday
11782,Thursday
11783,Thursday
11784,Thursday
12236,Thursday
11785,Thursday
11786,Thursday
11787,Thursday
11788,Friday
11789,Friday
11790,Friday
13718,Friday
13719,Friday
11791,Friday
11792,Friday
13080,Friday
11793,Monday
11793,Wednesday
11793,Friday
11794,Monday
11794,Wednesday
11794,Friday
11795,Tuesday
11795,Thursday
11796,Tuesday
11797,Tuesday
11798,Tuesday
11799,Tuesday
11800,Wednesday
11801,Wednesday
11802,Wednesday
11803,Wednesday
11804,Wednesday
11805,Thursday
11806,Thursday
11807,Thursday
11808,Thursday
13967,Thursday
12311,Monday
12311,Wednesday
11809,Monday
11809,Wednesday
11810,Monday
11810,Wednesday
10224,Tuesday
10415,Wednesday
10361,Wednesday
11811,Thursday
10223,Monday
10223,Wednesday
10223,Friday
10780,Wednesday
10781,Tuesday
10795,Wednesday
10782,Wednesday
10794,Tuesday
13963,Tuesday
10784,Wednesday
10785,Wednesday
10786,Wednesday
10787,Thursday
11280,Thursday
13964,Thursday
10783,Tuesday
10783,Thursday
11458,Wednesday
10481,Monday
10202,Monday
10929,Monday
11493,Monday
10480,Monday
10480,Wednesday
10480,Friday
10479,Monday
10479,Wednesday
10479,Friday
11871,Tuesday
11871,Thursday
10400,Wednesday
10400,Friday
11470,Wednesday
11470,Friday
11471,Wednesday
11471,Friday
10201,Tuesday
10201,Thursday
10596,Tuesday
10181,Friday
10182,Friday
11663,Friday
10180,Tuesday
10180,Thursday
10533,Monday
13113,Tuesday
13113,Thursday
11061,Tuesday
11061,Thursday
11632,Monday
11632,Wednesday
11632,Friday
12250,Tuesday
12250,Thursday
14698,Tuesday
14698,Thursday
10660,Monday
10660,Wednesday
10661,Monday
10661,Wednesday
10495,Wednesday
10478,Thursday
14694,Tuesday
14694,Thursday
10414,Tuesday
10414,Thursday
10526,Tuesday
10526,Thursday
10399,Wednesday
10933,Tuesday
10933,Thursday
10040,Thursday
11166,Thursday
10032,Monday
10093,Monday
10178,Monday
10227,Monday
10094,Monday
11167,Thursday
12886,Monday
10342,Tuesday
10662,Thursday
12723,Tuesday
12724,Tuesday
10081,Tuesday
12725,Tuesday
10242,Tuesday
10343,Wednesday
10243,Wednesday
10244,Wednesday
12726,Wednesday
11168,Friday
10245,Thursday
12241,Friday
10246,Thursday
12887,Thursday
12888,Friday
13704,Wednesday
13705,Tuesday
12721,Wednesday
11157,Wednesday
11413,Monday
13698,Monday
11414,Monday
12717,Monday
11415,Monday
12243,Wednesday
10347,Friday
10250,Tuesday
10344,Tuesday
10251,Tuesday
10252,Tuesday
10253,Wednesday
12718,Monday
10254,Wednesday
13701,Wednesday
11164,Wednesday
10346,Thursday
12719,Thursday
10257,Thursday
10258,Thursday
12242,Friday
11614,Monday
13050,Friday
13700,Tuesday
13056,Friday
13699,Tuesday
12720,Friday
11194,Friday
13702,Monday
13703,Monday
13055,Thursday
13066,Tuesday
13065,Friday
11195,Thursday
10255,Tuesday
10256,Wednesday
10030,Wednesday
10030,Friday
10031,Wednesday
10031,Friday
10247,Tuesday
10247,Thursday
10248,Tuesday
10248,Thursday
10249,Tuesday
10249,Thursday
12244,Friday
10396,Wednesday
12817,Wednesday
10311,Monday
10397,Wednesday
12245,Monday
10310,Tuesday
10310,Thursday
11130,Wednesday
11131,Friday
11477,Friday
11128,Wednesday
11128,Friday
12247,Wednesday
12811,Wednesday
