course_id,corequisite_course_id
4eb4b5a6-cf13-421e-b0bf-2f84af967bb1,e5b49aee-095a-41a3-ab73-0fe95ce60a5f
e5b49aee-095a-41a3-ab73-0fe95ce60a5f,4eb4b5a6-cf13-421e-b0bf-2f84af967bb1
780ec1f0-ae8a-4142-bc45-a64d50e12745,f550f61c-9e57-4877-89cb-4ddcce53bfea
f550f61c-9e57-4877-89cb-4ddcce53bfea,780ec1f0-ae8a-4142-bc45-a64d50e12745
54ebb844-d82d-4706-a257-ef9ec5bc1189,8c0929b7-a845-4387-b4fa-195c6f3e241b
8c0929b7-a845-4387-b4fa-195c6f3e241b,54ebb844-d82d-4706-a257-ef9ec5bc1189
ce28908b-d491-42af-b292-73f2bf849a7c,3cc93c83-ffad-4b1c-ab9b-df827e045ce6
3cc93c83-ffad-4b1c-ab9b-df827e045ce6,ce28908b-d491-42af-b292-73f2bf849a7c
ccf13580-f253-49d5-a677-d233f58dbbc8,f017e7c8-67fe-4bce-9cda-7acfe0e00f0d
ccf13580-f253-49d5-a677-d233f58dbbc8,4051d04e-b0aa-4e2c-a188-1b34a3ab1d2a
ccf13580-f253-49d5-a677-d233f58dbbc8,f67b8497-1b86-4799-a8a0-281feeb1d679
ccf13580-f253-49d5-a677-d233f58dbbc8,9ea8a94a-0e9d-4c70-be75-c29166a6fe49
ccf13580-f253-49d5-a677-d233f58dbbc8,c1a2b2b8-5a69-47ce-bf58-55e084ae908f
ccf13580-f253-49d5-a677-d233f58dbbc8,9a15ab4a-bce1-44e4-8250-be25bd17540e
ccf13580-f253-49d5-a677-d233f58dbbc8,130c6848-8fb2-4b8d-9209-7764587ecc77
ccf13580-f253-49d5-a677-d233f58dbbc8,6aa4dc72-e85f-468e-b4f3-fc72f755432d
ccf13580-f253-49d5-a677-d233f58dbbc8,68beea3c-d5b1-435a-b4a5-95e2d513090b
ccf13580-f253-49d5-a677-d233f58dbbc8,13e35c7d-5332-46f3-b402-2b10cf3d62de
ccf13580-f253-49d5-a677-d233f58dbbc8,d1c6a063-37e9-4643-a0af-efdcd495c9f7
ccf13580-f253-49d5-a677-d233f58dbbc8,472e76ca-6a15-4914-9da9-d3161d6494ff
ccf13580-f253-49d5-a677-d233f58dbbc8,8d53ebb9-46ee-4b6b-8b19-abdcac12c5d5
ccf13580-f253-49d5-a677-d233f58dbbc8,77aee2ac-0535-438d-983d-d4562714d471
ccf13580-f253-49d5-a677-d233f58dbbc8,63eb5997-e1be-4c2e-83b6-9db8b62fb3a0
ccf13580-f253-49d5-a677-d233f58dbbc8,856b17b2-5e80-46b7-af52-abdf3bcb9921
ccf13580-f253-49d5-a677-d233f58dbbc8,5d664127-aace-4ef6-8a65-71156e2a9e57
ccf13580-f253-49d5-a677-d233f58dbbc8,63c6b9b3-579c-4f61-8d44-f64f447477d6
ccf13580-f253-49d5-a677-d233f58dbbc8,99178a16-99fb-4315-a362-1bc7469acd25
ccf13580-f253-49d5-a677-d233f58dbbc8,8a4514ca-711c-4f93-ac75-051b37910b17
ccf13580-f253-49d5-a677-d233f58dbbc8,3dd995a4-97e6-4a70-bd94-911320dba7ae
ccf13580-f253-49d5-a677-d233f58dbbc8,40df9bf6-7530-46f9-97d2-9cc55c334083
ccf13580-f253-49d5-a677-d233f58dbbc8,ba051abd-6317-4dda-833e-78905b084cfa
ccf13580-f253-49d5-a677-d233f58dbbc8,0725e444-f2a8-409f-b344-9dc81d2f38cb
ccf13580-f253-49d5-a677-d233f58dbbc8,46ba0032-29b4-4f2d-b3df-6908db3c4594
ccf13580-f253-49d5-a677-d233f58dbbc8,a23a8316-1758-4beb-ba37-711b3d6c91fd
bd18f429-fd88-4dc7-acbe-40d81ecdff3a,276b8e4f-bbdf-42e0-a376-4f3c227b665e
bd18f429-fd88-4dc7-acbe-40d81ecdff3a,416d6f82-9847-4c48-b77c-3c43540acfcc
bd18f429-fd88-4dc7-acbe-40d81ecdff3a,329013c9-cd34-493b-9aae-21bfe827b934
bd18f429-fd88-4dc7-acbe-40d81ecdff3a,2a35fb1e-3497-4ec3-924f-6d0194d69cda
bd18f429-fd88-4dc7-acbe-40d81ecdff3a,d7eaeae6-0137-4a9a-82a1-ba836fc9758a
bd18f429-fd88-4dc7-acbe-40d81ecdff3a,8a8a9c8e-54ae-456e-867d-a1456c08fcbd
bd18f429-fd88-4dc7-acbe-40d81ecdff3a,77f8d419-9c83-43b6-bed8-b3d67b24fb30
bd18f429-fd88-4dc7-acbe-40d81ecdff3a,cc3d7fa0-819a-4fbb-baa6-0b406114e512
bd18f429-fd88-4dc7-acbe-40d81ecdff3a,5c053710-38a2-46ee-930f-296630af8b2e
bd18f429-fd88-4dc7-acbe-40d81ecdff3a,cda36f79-c95a-4d71-ab27-6bd2ca797d0c
bd18f429-fd88-4dc7-acbe-40d81ecdff3a,d10f4744-74e5-4ff9-b53e-d8e69c96190b
bd18f429-fd88-4dc7-acbe-40d81ecdff3a,9b7572df-8e9a-4b4d-ac34-213011969a73
bd18f429-fd88-4dc7-acbe-40d81ecdff3a,ef47b2fa-645a-4e0f-861e-fef017c38fe9
bd18f429-fd88-4dc7-acbe-40d81ecdff3a,2c5c1389-f026-459b-bba4-490017f64a8f
bd18f429-fd88-4dc7-acbe-40d81ecdff3a,c73d78eb-f4cd-4a80-a727-7d43837d3437
bd18f429-fd88-4dc7-acbe-40d81ecdff3a,d7d3aac5-fe25-464d-8761-6d1ba6957aad
bd18f429-fd88-4dc7-acbe-40d81ecdff3a,d0fb6a08-ce43-4208-9141-2d1b7e2df3f5
5a8a9ba8-74ee-4057-a138-11456652e061,612c1dc6-b028-485e-bd70-8a7f823fe7a0
5a8a9ba8-74ee-4057-a138-11456652e061,f3caafd5-93c4-42b0-8781-de0bd8c1f9f6
5a8a9ba8-74ee-4057-a138-11456652e061,fe2b662c-1c8c-4e16-9ee2-42988290a05b
5a8a9ba8-74ee-4057-a138-11456652e061,d4fb8330-0a3c-44a6-8d4f-69f51dacd4cb
5a8a9ba8-74ee-4057-a138-11456652e061,e9214375-1ede-4b62-9596-ae494ed5c6ed
f017e7c8-67fe-4bce-9cda-7acfe0e00f0d,ccf13580-f253-49d5-a677-d233f58dbbc8
4051d04e-b0aa-4e2c-a188-1b34a3ab1d2a,ccf13580-f253-49d5-a677-d233f58dbbc8
f67b8497-1b86-4799-a8a0-281feeb1d679,ccf13580-f253-49d5-a677-d233f58dbbc8
f67b8497-1b86-4799-a8a0-281feeb1d679,8f0b7b70-f255-449b-979c-b5141d21b997
8f0b7b70-f255-449b-979c-b5141d21b997,f67b8497-1b86-4799-a8a0-281feeb1d679
9ea8a94a-0e9d-4c70-be75-c29166a6fe49,ccf13580-f253-49d5-a677-d233f58dbbc8
9ea8a94a-0e9d-4c70-be75-c29166a6fe49,46a1f9cb-0d9d-43e8-ab22-c18be24b5f93
46a1f9cb-0d9d-43e8-ab22-c18be24b5f93,9ea8a94a-0e9d-4c70-be75-c29166a6fe49
